2026-01-08 11:29:20 | INFO | NEWS_DATA | >>>>>>> Starting Agentic AI Graph Pipeline <<<<<<<
2026-01-08 11:29:20 | INFO | NEWS_DATA | Initializing agentic graph
2026-01-08 11:29:20 | INFO | NEWS_DATA | Invoking agentic graph
2026-01-08 11:29:20 | INFO | NEWS_DATA | Initiated the `get_queries_node`.
2026-01-08 11:29:20 | INFO | NEWS_DATA | Loaded the queries successfully.
2026-01-08 11:29:20 | INFO | NEWS_DATA | Finished the `get_queries_node`, Duration = 0.00s.
2026-01-08 11:29:20 | INFO | NEWS_DATA | Initiated the `fetch_data_node`.
2026-01-08 11:29:39 | INFO | NEWS_DATA | Finished the `fetch_data_node`, Duration = 18.72s, Articles = 15.
2026-01-08 11:29:39 | INFO | NEWS_DATA | Initiated the `get_sentiment_node`.
2026-01-08 11:30:02 | INFO | NEWS_DATA | Finished the `get_sentiment_node`, Duration = 23.11s, Items = 15.
2026-01-08 11:30:02 | INFO | NEWS_DATA | Initiated the `save_node_node`.
2026-01-08 11:30:02 | INFO | NEWS_DATA | Finished the `save_node_node`, Duration = 0.00s.
2026-01-08 11:30:02 | INFO | NEWS_DATA | Agentic AI Graph completed successfully
2026-01-08 11:30:02 | INFO | NEWS_DATA | Graph output keys: ['queries', 'contents', 'sentiments']
2026-01-08 11:30:02 | INFO | NEWS_DATA | ======================================================================

2026-01-08 11:43:17 | INFO | NEWS_DATA | ======================================================================
2026-01-08 11:43:17 | INFO | NEWS_DATA | >>>>>>>> DATE: 2026-01-08 <<<<<<<<
2026-01-08 11:43:17 | INFO | NEWS_DATA | >>>>>>> Starting Agentic AI Graph Pipeline <<<<<<<
2026-01-08 11:43:17 | INFO | NEWS_DATA | Initializing agentic graph
2026-01-08 11:43:17 | INFO | NEWS_DATA | Invoking agentic graph
2026-01-08 11:43:17 | INFO | NEWS_DATA | Initiated the `get_queries_node`.
2026-01-08 11:43:17 | INFO | NEWS_DATA | Loaded the queries successfully.
2026-01-08 11:43:17 | INFO | NEWS_DATA | Finished the `get_queries_node`, Duration = 0.00s.
2026-01-08 11:43:17 | INFO | NEWS_DATA | Initiated the `fetch_data_node`.
2026-01-08 11:43:35 | INFO | NEWS_DATA | Finished the `fetch_data_node`, Duration = 18.55s, Articles = 15.
2026-01-08 11:43:35 | INFO | NEWS_DATA | Initiated the `get_sentiment_node`.
2026-01-08 11:43:52 | INFO | NEWS_DATA | Finished the `get_sentiment_node`, Duration = 16.98s, Items = 15.
2026-01-08 11:43:52 | INFO | NEWS_DATA | Initiated the `save_node_node`.
2026-01-08 11:43:52 | INFO | NEWS_DATA | Finished the `save_node_node`, Duration = 0.01s.
2026-01-08 11:43:52 | INFO | NEWS_DATA | Agentic AI Graph completed successfully
2026-01-08 11:43:52 | INFO | NEWS_DATA | Graph output keys: ['queries', 'contents', 'sentiments']
2026-01-08 11:43:52 | INFO | NEWS_DATA | ======================================================================

2026-01-08 11:50:10 | INFO | NEWS_DATA | ======================================================================
2026-01-08 11:50:10 | INFO | NEWS_DATA | >>>>>>>> DATE: 2026-01-08 <<<<<<<<
2026-01-08 11:50:10 | INFO | NEWS_DATA | >>>>>>> Starting Agentic AI Graph Pipeline <<<<<<<
2026-01-08 11:50:10 | INFO | NEWS_DATA | Initializing agentic graph
2026-01-08 11:50:10 | INFO | NEWS_DATA | Invoking agentic graph
2026-01-08 11:50:10 | INFO | NEWS_DATA | Initiated the `get_queries_node`.
2026-01-08 11:50:10 | INFO | NEWS_DATA | Loaded the queries successfully.
2026-01-08 11:50:10 | INFO | NEWS_DATA | Finished the `get_queries_node`, Duration = 0.00s.
2026-01-08 11:50:10 | INFO | NEWS_DATA | Initiated the `fetch_data_node`.
2026-01-08 11:50:28 | INFO | NEWS_DATA | Finished the `fetch_data_node`, Duration = 17.28s, Articles = 15.
2026-01-08 11:50:28 | INFO | NEWS_DATA | Initiated the `get_sentiment_node`.
2026-01-08 11:50:46 | INFO | NEWS_DATA | Finished the `get_sentiment_node`, Duration = 18.48s, Items = 15.
2026-01-08 11:50:46 | INFO | NEWS_DATA | Initiated the `save_node_node`.
2026-01-08 11:50:46 | INFO | NEWS_DATA | Finished the `save_node_node`, Duration = 0.00s.
2026-01-08 11:50:46 | INFO | NEWS_DATA | Agentic AI Graph completed successfully
2026-01-08 11:50:46 | INFO | NEWS_DATA | Graph output keys: ['queries', 'contents', 'sentiments']
2026-01-08 11:50:46 | INFO | NEWS_DATA | ======================================================================

2026-01-08 13:49:19 | INFO | NEWS_DATA | ======================================================================
2026-01-08 13:49:19 | INFO | NEWS_DATA | >>>>>>>> DATE: 2026-01-08 <<<<<<<<
2026-01-08 13:49:19 | INFO | NEWS_DATA | >>>>>>> Starting Agentic AI Graph Pipeline <<<<<<<
2026-01-08 13:49:19 | INFO | NEWS_DATA | Initializing agentic graph
2026-01-08 13:49:19 | INFO | NEWS_DATA | Invoking agentic graph
2026-01-08 13:49:20 | INFO | NEWS_DATA | Initiated the `get_queries_node`.
2026-01-08 13:49:20 | INFO | NEWS_DATA | Loaded the queries successfully.
2026-01-08 13:49:20 | INFO | NEWS_DATA | Finished the `get_queries_node`, Duration = 0.00s.
2026-01-08 13:49:20 | INFO | NEWS_DATA | Initiated the `fetch_data_node`.
2026-01-08 13:49:41 | INFO | NEWS_DATA | Finished the `fetch_data_node`, Duration = 21.33s, Articles = 15.
2026-01-08 13:49:41 | INFO | NEWS_DATA | Initiated the `get_sentiment_node`.
2026-01-08 13:50:06 | INFO | NEWS_DATA | Finished the `get_sentiment_node`, Duration = 24.95s, Items = 15.
2026-01-08 13:50:06 | INFO | NEWS_DATA | Initiated the `save_node_node`.
2026-01-08 13:50:06 | INFO | NEWS_DATA | Finished the `save_node_node`, Duration = 0.01s.
2026-01-08 13:50:06 | INFO | NEWS_DATA | Agentic AI Graph completed successfully
